salesanalysis,Design,Category_Code,VOCNO
1,DIAMOND PENDANT,PN,10
1,DIA EARRING RND G/H VS 1.01/1.02CT IGI,,10
1,DIAMOND CUFFLINK,CUF,151
1,GOLD EARRING,ER,151
1,GOLD EARRING,ER,151
1,GOLD EARRING,ER,151
1,DIAMOND EARRING,ER,151
1,GOLD NECKLACE,NK,151
1,DIAMOND NECKLACE,NK,151
1,DIAMOND PENDANT,PN,151
1,DIAMOND BANGLE,BN,151
1,DIAMOND BANGLE,BN,151
1,DIAMOND RING,RN,151
1,DIAMOND BANGLE,BN,151
1,DIAMOND BANGLE,BN,151
1,DIAMOND BANGLE,BN,151
1,DIAMOND BANGLE,BN,151
1,DIAMOND BANGLE,BN,151
1,GOLD CUFFLINK,CUF,151
1,DIAMOND EARRING,ER,151
1,GOLD EARRING,ER,151
1,DIAMOND PENDANT,PN,151
1,GOLD PENDANT,PN,151
1,GOLD PENDANT,PN,151
1,DIAMOND PENDANT,PN,151
1,DIAMOND RING,RN,151
1,GOLD RING,RN,151
1,Multi Tourmaline              ,,151
1,DIAMOND BANGLE,BN,167
1,DIAMOND,BT,167
1,DIAMOND PENDANT,PN,167
1,DIAMOND RING,RN,167
1,Diamond Ring,,167
1,DIAMOND RING,RN,167
1,DIAMOND RING BAN,RN,167
1,DIAMOND RING,RN,81
1,DIAMOND RING,RN,63
1,DIAMOND RING,RN,6
1,,,66
1,DIAMOND RING,RN,66
1,DIAMOND RING,RN,66
1,DIAMOND BRACELET,BT,72
1,,,74
1,,,74
1,DIAMOND PENDANT,PN,76
1,DIAMOND EARRING,,76
1,DIAMOND RING,RN,76
1,DIAMOND EARRING,ER,76
1,DIAMOND EARRING,ER,76
1,Diamond Ring,,76
1,DIAMOND PENDANT,PN,79
1,PEARL EARRING,ER,79
1,DIAMOND EARRING,ER,222
1,DIAMOND RING,RN,226
1,DIAMOND RING,RN,228
1,DIAMOND ANKLET,AN,229
1,DIAMOND JEWELLERY MOUNTING,ER,236
1,DIAMOND BRACELET,BT,235
1,DIAMOND EARRING,ER,234
1,DIAMOND RING,RN,83
1,DIAMOND PENDANT,PN,83
1,DIAMOND BRACELET,BT,83
1,DIAMOND EARRING,ER,83
1,DIAMOND EARRING,ER,83
1,DIAMOND PENDANT,PN,83
1,DIAMOND EARRING,ER,83
1,DIAMOND CHOKER NECKLACE,NK,92
1,DIAMOND RING,RN,92
1,DIAMOND EARRING,ER,92
1,DIAMOND PENDANT,PN,88
1,DIAMOND PENDANT,PN,86
1,DIAMOND PENDANT,PN,84
1,DIAMOND EARRING,ER,84
1,DIAMOND RING,RN,84
1,DIAMOND BRACELET,BT,84
1,DIAMOND CHOKER NECKLACE,NK,84
1,DIAMOND ANKLET,AN,85
1,DIAMOND PENDANT,PN,87
1,DIAMOND,BN,87
1,DIAMOND RING,RN,89
1,DIAMOND BANGLE,BN,89
1,DIAMOND,BN,1
1,DIAMOND RING,RN,90
1,DIAMOND PENDANT,PN,9
1,DIAMOND PENDANT,PN,9
1,DIAMOND RING,RN,176
1,DIAMOND RING,RN,176
1,DIAMOND RING,RN,176
1,DIAMOND RING,RN,176
1,DIAMOND RING,RN,176
1,DIAMOND RING,RN,176
1,DIAMOND RING,RN,176
1,DIAMOND RING,RN,176
1,DIAMOND RING,RN,176
1,DIAMOND RING,RN,176
1,DIAMOND PENDANT,PN,176
1,DIAMOND PENDANT,PN,176
1,DIAMOND PENDANT,PN,176
1,DIAMOND PENDANT,PN,176
1,DIAMOND PENDANT,PN,176
1,DIAMOND PENDANT,PN,176
1,DIAMOND PENDANT,PN,176
1,DIAMOND RING,RN,176
1,DIAMOND RING,RN,176
1,DIAMOND RING,RN,176
1,DIAMOND RING,RN,176
1,DIAMOND RING,RN,176
1,DIAMOND RING,RN,176
1,DIAMOND RING,ER,176
1,DIAMOND RING,RN,176
1,DIAMOND EARRING,ER,176
1,DIAMOND EARRING,ER,176
1,DIAMOND EARRING,ER,176
1,DIAMOND EARRING,RN,176
1,DIAMOND PENDANT,PN,176
1,DIAMOND PENDANT,PN,176
1,DIAMOND PENDANT,PN,176
1,DIAMOND RING,RN,176
1,DIAMOND RING,RN,176
1,DIAMOND PENDANT,PN,176
1,DIAMOND PENDANT,PN,176
1,DIAMOND PENDANT,PN,176
1,DIAMOND PENDANT,PN,176
1,DIAMOND PENDANT,PN,176
1,DIAMOND PENDANT,PN,176
1,DIAMOND PENDANT,PN,176
1,DIAMOND PENDANT,PN,176
1,DIAMOND PENDANT,PN,178
1,DIAMOND RING,RN,178
1,DIAMOND PENDANT,PN,178
1,DIAMOND PENDANT,PN,178
1,DIAMOND PENDANT,PN,178
1,DIAMOND PENDANT,PN,178
1,DIAMOND PENDANT,PN,178
1,DIAMOND PENDANT,PN,178
1,DIAMOND PENDANT,PN,178
1,DIAMOND PENDANT,PN,178
1,DIAMOND PENDANT,PN,178
1,DIAMOND RING,RN,178
1,DIAMOND RING,RN,178
1,DIAMOND RING,RN,178
1,DIAMOND RING,RN,178
1,DIAMOND RING,RN,178
1,DIAMOND RING,RN,178
1,DIAMOND RING,RN,178
1,DIAMOND RING,RN,178
1,DIAMOND RING,RN,178
1,DIAMOND RING,RN,178
1,DIAMOND BANGLE,BN,178
1,DIAMOND BANGLE,BN,178
1,DIAMOND EARRING,ER,178
1,DIAMOND EARRING,ER,178
1,DIAMOND EARRING,ER,178
1,DIAMOND EARRING,ER,178
1,DIAMOND EARRING,ER,178
1,DIAMOND NECKLACE,NK,178
1,DIAMOND EARRING,ER,178
1,DIAMOND EARRING,ER,178
1,DIAMOND EARRING,ER,178
1,DIAMOND EARRING,ER,178
1,DIAMOND RING,RN,178
1,DIAMOND RING,RN,178
1,DIAMOND BANGLE,BN,178
1,DIAMOND NECKLACE,NK,178
1,DIAMOND EARRING,ER,178
1,DIAMOND RING,RN,178
1,DIAMOND EARRING,ER,178
